rater_id,week,report_format,age,gender,professional_role,years_clinical_practice,primary_work_setting,therapeutic_modality,A1_information_hierarchy,A2_conciseness,B3_identification_of_factors,B4_likelihood_assessment,C5_relevance,C6_appropriateness,D7_overall_value_session_prep,most_clinically_valuable_component,qualitative_feedback
Expert_7,Week_18,Long_Form_Research_Log,37,Female,Licensed psychotherapist,6-10,Academic/ Research Setting,Behavioral therapy,4.0,3.0,3.0,2.0,4.0,3.0,2.0,"To have information on the specific situations that led to panic attacks (sleeping over somewhere else + conflict with a friend) as they give an insight into the value system of the patient (security, connectivity with others)","How is it possible to tell whether the elevated heart beats are the result of anxiety or rather physical activity? 
Was the self-report (questionnaire assessed again or is it a repetition from the previous report (as the values are identical)
How can a panic attack be rated with a 0/100 intensity?
Maybe a data entry error or the volunteer misinterpreted the question?
I feel that many conclusions are not well justified."
Expert_7,Week_18,Short_Form_Psychologist_Report,37,Female,Licensed psychotherapist,6-10,Academic/ Research Setting,Behavioral therapy,4.0,4.0,3.0,4.0,4.0,4.0,3.0,To get to know the different soothing behavior patterns,"Is it really possible that a single hand scratching bout lased for minutes (approx. 24h)? likely an artefact? 
What is RAG? Abbreviation not introduced"
Expert_1,Week_23,Long_Form_Research_Log,29,Female,Clinical Psychologist,0-2,Academic/ Research Setting,Behavioral therapy,2.0,2.0,3.0,2.0,2.0,2.0,2.0,physiological data,"What is included in physiological and activity data? Is there a distinction between physical activity and resting phases? there is no description/ caption/ note on these parameters
Again, no mention of the time shift of behavior and time of day (previously night/ morning, now evening)
Investigate Discrepancy could potentially be harmful. Anxiety not equal to panic attack. may feel invalidating to the volunteers subjective experience and may be misleading."
Expert_1,Week_23,Short_Form_Psychologist_Report,29,Female,Clinical Psychologist,0-2,Academic/ Research Setting,Behavioral therapy,4.0,3.0,3.0,2.0,3.0,3.0,2.0,physiological data,"The duration of hand scratching decreased significantly, however, this is not mentioned (compared to previous reports). "
Expert_2,Week_23,Long_Form_Research_Log,25,Female,Clinical Psychologist,0-2,Academic/ Research Setting,Behavioral therapy,3.0,3.0,2.0,1.0,2.0,1.0,1.0,physiological data,"recommendations increase the risk for suggestive influences, thereby potentially exacerbating symptom. Investigate discrepancy"
Expert_2,Week_23,Short_Form_Psychologist_Report,25,Female,Clinical Psychologist,0-2,Academic/ Research Setting,Behavioral therapy,3.0,2.0,2.0,2.0,1.0,1.0,1.0,physiological data,new information in short form
Expert_3,Week_23,Long_Form_Research_Log,37,Female,Licensed psychotherapist,3-5,Academic/ Research Setting,Behavioral therapy,3.0,2.0,2.0,2.0,3.0,2.0,2.0,,redundant to previous reports
Expert_3,Week_23,Short_Form_Psychologist_Report,37,Female,Licensed psychotherapist,3-5,Academic/ Research Setting,Behavioral therapy,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,redundant to previous reports
Expert_4,Week_23,Long_Form_Research_Log,49,Female,Licensed psychotherapist,3-5,Academic/ Research Setting,Behavioral therapy,4.0,4.0,3.0,2.0,2.0,2.0,,See before,See before
Expert_4,Week_23,Short_Form_Psychologist_Report,49,Female,Licensed psychotherapist,3-5,Academic/ Research Setting,Behavioral therapy,4.0,4.0,4.0,2.0,2.0,2.0,4.0,It appears that the (not further specified) anxiety remain.,"Without differential diagnosis, the indicated treatment remain unclear. "
Expert_5,Week_23,Long_Form_Research_Log,29,Female,Psychotherapist in training,0-2,"Community Mental Health Clinic, Academic/ Research Setting",Behavioral therapy,,,,,,,,,
Expert_5,Week_23,Short_Form_Psychologist_Report,29,Female,Psychotherapist in training,0-2,"Community Mental Health Clinic, Academic/ Research Setting",Behavioral therapy,,,,,,,,,
Expert_6,Week_23,Long_Form_Research_Log,44,Male,Licensed psychotherapist,10+,"Private Practice, Academic/ Research Setting",Behavioral therapy,2.0,2.0,2.0,3.0,2.0,2.0,3.0,,
Expert_6,Week_23,Short_Form_Psychologist_Report,44,Male,Licensed psychotherapist,10+,"Private Practice, Academic/ Research Setting",Behavioral therapy,2.0,2.0,2.0,2.0,3.0,3.0,1.0,"No pamiattachs, bold type",
Expert_7,Week_23,Long_Form_Research_Log,37,Female,Licensed psychotherapist,6-10,Academic/ Research Setting,Behavioral therapy,3.0,4.0,2.0,2.0,3.0,4.0,2.0,That most observed behaviors occurred in the evening and that no panic attacks were reported this week,"I think that the fact that no panic attacks were reported was not valued enough. It was interpreted skeptically as an indication of a discrepancy between self-report and elevated behavioral anxiety levels. However, the behavioral data could also indicate something else (activity level, a fight with someone, etc) as anxiety does not have a 100 percent clear physiological finger print."
Expert_7,Week_23,Short_Form_Psychologist_Report,37,Female,Licensed psychotherapist,6-10,Academic/ Research Setting,Behavioral therapy,4.0,4.0,3.0,3.0,4.0,3.0,3.0,That more self-soothing behaviors occured in the evening,"It is interesting that behavioral data did not correlate with self-report, when comparing the results to the previous week, it appears that hand scratching etc was reduced this week. So maybe, in absolute terms, there was no correlation, but given the time prespective, this a low-level for this particular person, so it might in this way correspond to her self-report"
